product_id,category_id,product_name,description,price,stock_quantity,created_at
19,41,스니커즈 DarkRed 베이직,강화된 멀티 태스킹 엑스트라넷,36000.0,28,2025-05-27 04:01:34
20,22,슬랙스 LightCyan 오버핏,올바른 사이즈의 필수 프로젝트,102900.0,93,2025-01-26 11:35:51
21,31,자켓 Wheat 슬림핏,다용도 국가적 프로젝트,149700.0,13,2025-06-20 02:40:36
22,22,슬랙스 White 오버핏,재정렬 24시간 솔루션,86300.0,22,2025-05-10 21:09:32
23,31,자켓 Brown 오버핏,공개 아키텍쳐 그리드 가능 프레임,198400.0,42,2025-05-30 14:38:37
24,41,스니커즈 Azure 슬림핏,조절 가능한 클라이언트-서버 시간화,51200.0,61,2025-01-10 05:01:26
25,21,청바지 PaleGreen 슬림핏,업그레이드 가능한 분석중인 공개 시스템,89600.0,81,2025-04-26 00:14:13
26,22,슬랙스 MediumSeaGreen 오버핏,강력한 다음 세대 접근,75700.0,34,2025-07-12 15:06:51
27,13,니트 HotPink 슬림핏,효율적인 하이브리드 인터페이스,101200.0,36,2025-01-21 18:49:57
28,41,스니커즈 LightCoral 오버핏,총 컨텐츠 기반 공개 시스템,39700.0,36,2025-04-24 02:46:57
29,12,셔츠 Tomato 베이직,안전한 필수 회로,193100.0,93,2025-04-15 04:44:51
30,13,니트 Beige 오버핏,리버스 엔지니어링된 밀착 솔루션,174800.0,76,2025-03-15 01:32:21
31,41,스니커즈 Cyan 슬림핏,가상 휴대형 인트라넷,105100.0,83,2025-04-04 19:27:54
32,21,청바지 CornflowerBlue 슬림핏,함수 기반의 무해한 아카이브,123200.0,99,2025-04-04 19:30:09
33,11,티셔츠 LightCoral 베이직,자동화된 주파수 탐지 가능 축적,182400.0,13,2025-08-04 05:03:51
34,22,슬랙스 Fuchsia 베이직,중심이 선구적 연합,23800.0,77,2025-01-26 03:20:57
35,41,스니커즈 Green 베이직,디지털화된 장거리 인터페이스,115900.0,60,2025-01-17 17:02:37
36,22,슬랙스 Turquoise 슬림핏,유저 친화적 선구적 인트라넷,186300.0,48,2025-02-19 01:11:43
37,21,청바지 PaleGoldenRod 베이직,자동화된 24/7 포탈,117600.0,51,2025-04-11 01:09:07
38,41,스니커즈 FloralWhite 오버핏,트리플 버퍼 무관리 설치과정,107900.0,39,2025-05-25 03:58:55
39,12,셔츠 Olive 베이직,선택적 결정 프로젝트,25100.0,34,2025-06-05 14:58:59
40,13,니트 ForestGreen 오버핏,올바른 사이즈의 안정적 모니터링,69000.0,45,2025-06-09 01:26:31
41,11,티셔츠 DarkKhaki 슬림핏,확대된 취약점 도전,148100.0,79,2025-04-16 21:34:28
42,41,스니커즈 Maroon 베이직,선택적 보조 하드웨어,120700.0,38,2025-07-31 05:38:37
43,13,니트 Turquoise 오버핏,줄어든 멀티 태스킹 성공,178000.0,36,2025-02-19 12:45:38
44,41,스니커즈 DeepSkyBlue 오버핏,멀티 채널 웹 사용 가능 에뮬레이션,147100.0,92,2025-03-19 13:14:07
45,12,셔츠 DarkViolet 오버핏,수익에 중점을 둔 장거리 설치과정,44800.0,50,2025-05-13 21:27:24
46,22,슬랙스 MistyRose 베이직,융합력있는 멀티 태스킹 생산 능력,61700.0,61,2025-03-28 01:44:30
47,41,스니커즈 SlateBlue 슬림핏,리버스 엔지니어링된 백그라운드 모델,198600.0,95,2025-02-18 18:12:38
48,12,셔츠 DarkOrchid 오버핏,비즈니스 중점적 방향 포탈,190000.0,94,2025-01-18 20:10:28
49,21,청바지 Orange 오버핏,효율적인 필수 제품,134600.0,62,2025-05-26 08:02:02
50,22,슬랙스 LawnGreen 오버핏,무결점의 범국가적 그래픽 인터페이스,96400.0,35,2025-04-16 06:21:42
51,11,티셔츠 FireBrick 슬림핏,안정적인 교훈적 데이터베이스,146800.0,92,2025-01-16 02:44:25
52,22,슬랙스 MediumPurple 베이직,공개 아키텍쳐 웹 사용 가능 펌웨어,22300.0,22,2025-07-14 21:02:55
53,13,니트 Turquoise 오버핏,유기농 다중 상태 인코딩,160000.0,42,2025-01-07 10:33:33
54,31,자켓 SandyBrown 오버핏,출판된 잘 모듈화된 생산 능력,36400.0,57,2025-03-04 04:48:20
55,41,스니커즈 MediumSlateBlue 슬림핏,반동적인 무해한 태도,160300.0,83,2025-06-04 16:05:08
56,21,청바지 LightCoral 베이직,적응된 수요 중심 표준,131400.0,41,2025-02-13 14:32:43
57,12,셔츠 Lavender 베이직,다중 주파수 휴대형 마이그레이션,154200.0,28,2025-04-09 14:15:46
58,13,니트 Maroon 베이직,원활한 무관용 안내 창구,186500.0,96,2025-02-17 08:01:14
59,22,슬랙스 YellowGreen 베이직,중심이 합성물 코어,176600.0,87,2025-01-05 14:31:51
60,41,스니커즈 DarkTurquoise 오버핏,미래가 보장된 작동 엔진,103200.0,87,2025-01-17 13:25:10
61,31,자켓 DimGray 베이직,효율적인 클라이언트-서버 인코딩,185800.0,79,2025-06-02 22:08:16
62,11,티셔츠 Cyan 오버핏,변경 가능한 헌신적 지원,86500.0,55,2025-02-11 19:21:03
63,13,니트 AntiqueWhite 슬림핏,조직화된 국가적 펌웨어,75300.0,37,2025-03-27 09:06:27
64,41,스니커즈 Coral 슬림핏,총 작동 배열,46700.0,19,2025-06-07 20:52:14
65,11,티셔츠 MediumOrchid 오버핏,수익에 중점을 둔 클라이언트 단 성공,163800.0,59,2025-01-25 18:30:08
66,13,니트 GhostWhite 오버핏,숙련된 가치추가 그룹웨어,80000.0,34,2025-06-07 02:19:30
67,31,자켓 DarkGreen 베이직,효율적인 해답 기반 아카이브,110300.0,12,2025-06-15 10:09:10
68,11,티셔츠 Sienna 베이직,복제된 요약 시너지,187200.0,26,2025-06-14 12:08:48
69,31,자켓 DarkSlateBlue 슬림핏,출판된 24/7 소프트웨어,160800.0,12,2025-04-27 18:03:08
70,11,티셔츠 HotPink 오버핏,최적화된 작동 GUI,93600.0,70,2025-07-14 05:34:21
71,11,티셔츠 Red 베이직,공개 키 분리형 능력,183400.0,46,2025-04-25 14:36:32
72,21,청바지 HoneyDew 베이직,자가 이용 가능한 해답 기반 지원,154700.0,8,2025-07-28 14:32:12
73,13,니트 DarkGreen 베이직,업그레이드 가능한 선구적 허브,64500.0,11,2025-04-06 20:04:26
74,11,티셔츠 Beige 슬림핏,독보적인 중립형 웹 사이트,93000.0,92,2025-04-20 06:09:36
75,41,스니커즈 GoldenRod 슬림핏,중심이 무관용 아키텍쳐,198800.0,44,2025-03-27 14:16:40
76,12,셔츠 Black 오버핏,융합된 지역적 생산 능력,96900.0,3,2025-02-04 10:25:24
77,13,니트 DarkCyan 슬림핏,확장된 웹 사용 가능 보안구역,48200.0,61,2025-01-09 12:31:34
78,31,자켓 MidnightBlue 슬림핏,다중 주파수 교훈적 프로젝트,65600.0,68,2025-07-16 06:29:27
79,13,니트 GoldenRod 베이직,확장된 문맥 기반 설치과정,178900.0,71,2025-02-03 17:53:24
80,11,티셔츠 LightSteelBlue 슬림핏,최전방 6세대 지식 기반,96600.0,56,2025-05-03 13:46:18
81,11,티셔츠 LightSkyBlue 베이직,강력한 3세대 정의,39100.0,63,2025-01-01 13:51:11
82,11,티셔츠 LightGreen 오버핏,단체 기반의 객체 지향적 인코딩,174600.0,18,2025-03-17 03:37:26
83,11,티셔츠 Teal 오버핏,조절 가능한 헌신적 지원,134100.0,35,2025-06-21 12:16:35
84,12,셔츠 Black 슬림핏,조직화된 무해한 벤치마크,119500.0,21,2025-08-05 22:03:10
85,22,슬랙스 DarkMagenta 오버핏,동기화 물류 에뮬레이션,117900.0,52,2025-03-29 08:55:11
86,13,니트 Orange 오버핏,멀티 레이어 멀티미디어 표준,76700.0,23,2025-07-28 17:10:07
87,11,티셔츠 SkyBlue 오버핏,낮은 장거리 예보,174100.0,54,2025-05-27 18:52:22
88,13,니트 PaleTurquoise 슬림핏,멀티 레이어 24시간 제품,26200.0,4,2025-06-10 05:38:18
89,12,셔츠 LightBlue 베이직,확대된 인간자원 유연성,70300.0,31,2025-05-31 06:06:24
90,12,셔츠 Silver 슬림핏,선택적 주파수 탐지 가능 포탈,123800.0,71,2025-05-27 19:07:35
91,13,니트 Black 베이직,인체 공학적인 헌신적 포탈,64800.0,25,2025-03-22 23:23:56
92,31,자켓 LightSlateGray 오버핏,더 커진 역수 도전,173200.0,9,2025-05-23 21:44:12
93,21,청바지 Tomato 베이직,조절 가능한 비동기 표준,184600.0,79,2025-07-03 20:30:43
94,22,슬랙스 Magenta 베이직,공개 아키텍쳐 무관리 시간화,60300.0,40,2025-06-11 03:40:21
95,13,니트 PaleVioletRed 슬림핏,강화된 방향 엔진,147000.0,28,2025-01-07 03:10:37
96,21,청바지 LightCoral 슬림핏,확장된 정적 에뮬레이션,155500.0,89,2025-02-09 11:25:00
97,11,티셔츠 NavajoWhite 오버핏,설정 가능한 모듈형 LAN,105600.0,72,2025-01-17 22:26:47
98,21,청바지 AliceBlue 베이직,유기농 요약 지원,169400.0,71,2025-06-14 06:45:34
99,41,스니커즈 Purple 슬림핏,함수 기반의 스며든 인터페이스,192100.0,30,2025-03-02 09:40:38
100,41,스니커즈 AliceBlue 오버핏,크로스 그룹 교훈적 포탈,111500.0,58,2025-02-24 10:07:40
